scaling_technique,model,best_score_acc
none,knn,0.7022222222222222
none,dt,0.7055555555555555
none,gnbayes,0.7333333333333334
none,comnbayes,0.5477777777777778
minmax,knn,0.7422222222222222
minmax,dt,0.7066666666666667
minmax,gnbayes,0.7488888888888889
minmax,comnbayes,0.7122222222222222
minmax,svc,0.7555555555555555
standard,knn,0.7466666666666667
standard,dt,0.7055555555555555
standard,gnbayes,0.7522222222222222
standard,svc,0.7633333333333333
quantile,knn,0.7411111111111112
quantile,dt,0.7044444444444444
quantile,gnbayes,0.7511111111111111
quantile,comnbayes,0.7088888888888889
quantile,svc,0.7733333333333332
5 bins,knn,0.7377777777777779
5 bins,dt,0.7433333333333334
5 bins,gnbayes,0.7477777777777778
5 bins,comnbayes,0.7222222222222221
5 bins,svc,0.7588888888888888
10 bins,knn,0.7277777777777776
10 bins,dt,0.7244444444444446
10 bins,gnbayes,0.75
10 bins,comnbayes,0.7133333333333333
10 bins,svc,0.7544444444444445
20 bins,knn,0.7311111111111112
20 bins,dt,0.7066666666666668
20 bins,gnbayes,0.7455555555555555
20 bins,comnbayes,0.7088888888888889
20 bins,svc,0.7466666666666667
