,dropped,model,best_score_f1
0,,knn,0.623097010210241
1,,dt,0.6572036888275128
2,,gnbayes,0.6842895720187208
3,,comnbayes,0.690984135436646
4,,svc,0.691027706021362
5,['C1'],knn,0.6162847614374042
6,['C1'],dt,0.6552512739411672
7,['C1'],gnbayes,0.6824642048387022
8,['C1'],comnbayes,0.6933521705158963
9,['C1'],svc,0.6762426138994914
10,['C3'],knn,0.5998224882847463
11,['C3'],dt,0.6452833744377482
12,['C3'],gnbayes,0.674357652367079
13,['C3'],comnbayes,0.6903190897705642
14,['C3'],svc,0.6739257182451758
15,['C4'],knn,0.6007012918975141
16,['C4'],dt,0.619334430521317
17,['C4'],gnbayes,0.678447302156727
18,['C4'],comnbayes,0.6814192511549336
19,['C4'],svc,0.681687402497458
20,['C5'],knn,0.6213944757307475
21,['C5'],dt,0.6516354847167243
22,['C5'],gnbayes,0.6676617663167498
23,['C5'],comnbayes,0.6844554436901099
24,['C5'],svc,0.6623541214706943
25,['C6'],knn,0.6031420609969012
26,['C6'],dt,0.5926713502638782
27,['C6'],gnbayes,0.6672387554889536
28,['C6'],comnbayes,0.6764527632092363
29,['C6'],svc,0.6656438572772918
30,['C7'],knn,0.5702594358347806
31,['C7'],dt,0.5976357692168661
32,['C7'],gnbayes,0.6268442940051495
33,['C7'],comnbayes,0.6418903572732731
34,['C7'],svc,0.6114289523821801
35,['C8'],knn,0.6064671956007349
36,['C8'],dt,0.6329456638138928
37,['C8'],gnbayes,0.6776724889117826
38,['C8'],comnbayes,0.6858583475255375
39,['C8'],svc,0.6745444797246994
40,['C9'],knn,0.6109856355486855
41,['C9'],dt,0.6461397005147245
42,['C9'],gnbayes,0.6805879692932268
43,['C9'],comnbayes,0.6892084388034957
44,['C9'],svc,0.6759292267730285
45,['C13'],knn,0.6208491711875148
46,['C13'],dt,0.6496547912082347
47,['C13'],gnbayes,0.6883353864761114
48,['C13'],comnbayes,0.6866757944597786
49,['C13'],svc,0.6655347020846786
50,['C14'],knn,0.602018229558567
51,['C14'],dt,0.6610941611645258
52,['C14'],gnbayes,0.684119905440929
53,['C14'],comnbayes,0.6902345299760408
54,['C14'],svc,0.6706285070378896
55,['C16'],knn,0.619114102316867
