,dropped,model,best_score_f1
0,,knn,0.623097010210241
1,,dt,0.6572036888275128
2,,gnbayes,0.6842895720187208
3,,comnbayes,0.690984135436646
4,,svc,0.691027706021362
5,[],knn,0.623097010210241
6,[],dt,0.6572036888275128
7,[],gnbayes,0.6842895720187208
8,[],comnbayes,0.690984135436646
9,[],svc,0.691027706021362
10,['C23'],knn,0.6106024689062203
11,['C23'],dt,0.6542923019145795
12,['C23'],gnbayes,0.7015599049699538
13,['C23'],comnbayes,0.6890980009640233
14,['C23'],svc,0.698260300553492
15,['C24'],knn,0.6067303760596967
16,['C24'],dt,0.6576462331669741
17,['C24'],gnbayes,0.6933422317725034
18,['C24'],comnbayes,0.6944351785649427
19,['C24'],svc,0.6768788752300263
20,['C19'],knn,0.6038354715874034
21,['C19'],dt,0.6612849656069992
22,['C19'],gnbayes,0.6807618139139059
23,['C19'],comnbayes,0.6928830187765767
24,['C19'],svc,0.6831467459348699
25,['C14'],knn,0.602018229558567
26,['C14'],dt,0.6610941611645258
27,['C14'],gnbayes,0.684119905440929
28,['C14'],comnbayes,0.6902345299760408
29,['C14'],svc,0.6706285070378896
30,['C27'],knn,0.6151281407267671
31,['C27'],dt,0.6407949253113634
32,['C27'],gnbayes,0.6772008820443796
33,['C27'],comnbayes,0.6835868961441721
34,['C27'],svc,0.6974173744566546
35,['C29'],knn,0.6164376734659972
36,['C29'],dt,0.6572036888275128
37,['C29'],gnbayes,0.6859922778418113
38,['C29'],comnbayes,0.6934584327814723
39,['C29'],svc,0.682538054701029
40,['C28'],knn,0.6065822570638442
41,['C28'],dt,0.653281353438212
42,['C28'],gnbayes,0.685960058237013
43,['C28'],comnbayes,0.6928897213549037
44,['C28'],svc,0.6900320220280641
45,"['C23', 'C24']",knn,0.5943752368140716
46,"['C23', 'C24']",dt,0.6547348462540408
47,"['C23', 'C24']",gnbayes,0.6917616560678956
48,"['C23', 'C24']",comnbayes,0.6984587357381625
49,"['C23', 'C24']",svc,0.6951256044641043
50,"['C23', 'C19']",knn,0.6027647740339744
51,"['C23', 'C19']",dt,0.6592897811460646
52,"['C23', 'C19']",gnbayes,0.6979397007206642
53,"['C23', 'C19']",comnbayes,0.7017798204351953
