,scaling_technique,model,best_score_f1
0,,knn,0.41551990885528217
1,,dt,0.48590966736086016
2,,gnbayes,0.5577882546988019
3,,comnbayes,0.5932715832851579
4,,svc,0.5319636426223543
5,['C1'],knn,0.407131095213204
6,['C1'],dt,0.48378200778639213
7,['C1'],gnbayes,0.5547192174179456
8,['C1'],comnbayes,0.5927902620740405
9,['C1'],svc,0.5087505849841798
10,['C3'],knn,0.380388151890945
11,['C3'],dt,0.4640311195502587
12,['C3'],gnbayes,0.5314583365177628
13,['C3'],comnbayes,0.5894878970674282
14,['C3'],svc,0.510864496995717
15,['C4'],knn,0.37896755615103206
16,['C4'],dt,0.4309167644676066
17,['C4'],gnbayes,0.5518007263409097
18,['C4'],comnbayes,0.582997295371308
19,['C4'],svc,0.516631712633991
20,['C5'],knn,0.4134613787690885
21,['C5'],dt,0.4791121560285008
22,['C5'],gnbayes,0.53408692825603
23,['C5'],comnbayes,0.5861462190526101
24,['C5'],svc,0.4929967932364561
25,['C6'],knn,0.3760725039688827
26,['C6'],dt,0.3900786599326488
27,['C6'],gnbayes,0.5290336839577113
28,['C6'],comnbayes,0.5715699116980781
29,['C6'],svc,0.5065067060415899
30,['C7'],knn,0.32557558755412297
31,['C7'],dt,0.383812263785967
32,['C7'],gnbayes,0.47992026854245057
33,['C7'],comnbayes,0.5245947459850653
34,['C7'],svc,0.4067791684340659
35,['C8'],knn,0.38930348897478384
36,['C8'],dt,0.47435976015304765
37,['C8'],gnbayes,0.5514493892210348
38,['C8'],comnbayes,0.5880496383710482
39,['C8'],svc,0.5063041639211852
40,['C9'],knn,0.3990425406856729
41,['C9'],dt,0.46429957371830016
42,['C9'],gnbayes,0.5459555564653015
43,['C9'],comnbayes,0.5905503538301928
44,['C9'],svc,0.5073024696888672
45,['C13'],knn,0.4136657999410301
46,['C13'],dt,0.4805259732222006
47,['C13'],gnbayes,0.5430655530713541
48,['C13'],comnbayes,0.583340450517775
49,['C13'],svc,0.5001521673008515
50,['C14'],knn,0.37954616606346614
51,['C14'],dt,0.4889842830251312
52,['C14'],gnbayes,0.5602286262990045
53,['C14'],comnbayes,0.5930590403220861
54,['C14'],svc,0.5106052955783631
55,['C16'],knn,0.4118848423621985
56,['C16'],dt,0.48275177262401814
57,['C16'],gnbayes,0.5579466731702059
58,['C16'],comnbayes,0.5853792361912388
59,['C16'],svc,0.5157262316464764
60,['C18'],knn,0.41412414358820004
61,['C18'],dt,0.48901250424029286
62,['C18'],gnbayes,0.5482571267093143
63,['C18'],comnbayes,0.5908588592114957
64,['C18'],svc,0.5098391410465274
65,['C19'],knn,0.3816599506843409
66,['C19'],dt,0.49283607428726717
67,['C19'],gnbayes,0.5520250725968325
68,['C19'],comnbayes,0.596766418137781
69,['C19'],svc,0.5208445218054941
70,['C20'],knn,0.42058583467396193
71,['C20'],dt,0.4715591388686179
72,['C20'],gnbayes,0.5558819054156048
73,['C20'],comnbayes,0.5879677354692306
74,['C20'],svc,0.5241549900755853
75,['C21'],knn,0.3804880731412958
76,['C21'],dt,0.46010662504516786
77,['C21'],gnbayes,0.541618608046725
78,['C21'],comnbayes,0.5758632520286423
79,['C21'],svc,0.5035935839954815
80,['C22'],knn,0.4086904176577244
81,['C22'],dt,0.48590966736086016
82,['C22'],gnbayes,0.5602836421034839
83,['C22'],comnbayes,0.586459815242542
84,['C22'],svc,0.524044956104703
85,['C23'],knn,0.3913835251896869
86,['C23'],dt,0.4827413549580702
87,['C23'],gnbayes,0.5820409105399021
88,['C23'],comnbayes,0.5900146144491796
89,['C23'],svc,0.5427253468611196
90,['C24'],knn,0.39292089603781694
91,['C24'],dt,0.4856861996203875
92,['C24'],gnbayes,0.5616586463822013
93,['C24'],comnbayes,0.5973721081127736
94,['C24'],svc,0.5113113297028274
95,['C27'],knn,0.3983669735397145
96,['C27'],dt,0.46408771700150114
97,['C27'],gnbayes,0.5494757074255967
98,['C27'],comnbayes,0.5819430367305956
99,['C27'],svc,0.5430437157826298
100,['C28'],knn,0.394656563709013
101,['C28'],dt,0.4792902820180706
102,['C28'],gnbayes,0.5545370551915543
103,['C28'],comnbayes,0.5946815577332735
104,['C28'],svc,0.531908739845715
105,['C29'],knn,0.4041170291971207
106,['C29'],dt,0.48590966736086016
107,['C29'],gnbayes,0.5631057195606505
108,['C29'],comnbayes,0.5964414433821286
109,['C29'],svc,0.5194675807255658
