ID,Predict 1,Predict 2
1001,1,1
1002,1,1
1003,1,0
1004,0,0
1005,1,0
1006,0,0
1007,1,1
1008,0,0
1009,1,0
1010,1,1
1011,0,0
1012,1,0
1013,1,1
1014,1,0
1015,0,0
1016,0,0
1017,1,0
1018,1,1
1019,1,0
1020,0,0
1021,0,1
1022,1,1
1023,1,1
1024,0,0
1025,0,0
1026,0,1
1027,1,1
1028,0,0
1029,1,0
1030,1,0
1031,1,1
1032,1,1
1033,1,1
1034,1,0
1035,1,1
1036,0,1
1037,1,1
1038,1,1
1039,1,1
1040,1,1
1041,1,0
1042,1,1
1043,0,0
1044,1,1
1045,0,1
1046,1,0
1047,0,0
1048,0,0
1049,0,1
1050,0,0
1051,0,0
1052,0,0
1053,1,1
1054,0,1
1055,1,1
1056,0,0
1057,1,1
1058,1,1
1059,1,1
1060,1,0
1061,1,0
1062,1,1
1063,1,1
1064,1,1
1065,0,0
1066,1,1
1067,1,1
1068,0,0
1069,0,0
1070,0,1
1071,1,1
1072,1,1
1073,0,0
1074,0,0
1075,1,1
1076,1,1
1077,1,1
1078,0,0
1079,1,0
1080,1,1
1081,0,0
1082,0,0
1083,0,0
1084,0,0
1085,0,0
1086,0,0
1087,1,1
1088,0,0
1089,0,0
1090,0,0
1091,1,0
1092,1,1
1093,1,1
1094,0,0
1095,1,0
1096,1,1
1097,0,0
1098,1,1
1099,0,0
1100,0,0
